"10C0","Operations Commander","Officer"
"11A1","Airlift Pilot","Officer"
"11A2","Airlift Pilot","Officer"
"11A3","Airlift Pilot","Officer"
"11A4","Airlift Pilot","Officer"
"11B1","Bomber Pilot","Officer"
"11B2","Bomber Pilot","Officer"
"11B3","Bomber Pilot","Officer"
"11B4","Bomber Pilot","Officer"
"11BX","Bomber Pilot","Officer"
"11E1","Experimental Test Pilot","Officer"
"11E2","Experimental Test Pilot","Officer"
"11E3","Experimental Test Pilot","Officer"
"11E4","Experimental Test Pilot","Officer"
"11EX","Experimental Test Pilot","Officer"
"11F1","Fighter Pilot","Officer"
"11F2","Fighter Pilot","Officer"
"11F3","Fighter Pilot","Officer"
"11F4","Fighter Pilot","Officer"
"11FX","Fighter Pilot","Officer"
"11G1","Generalist Pilot","Officer"
"11G2","Generalist Pilot","Officer"
"11G3","Generalist Pilot","Officer"
"11G4","Generalist Pilot","Officer"
"11GX","Generalist Pilot","Officer"
"11H1","Helicopter Pilot","Officer"
"11H2","Helicopter Pilot","Officer"
"11H3","Helicopter Pilot","Officer"
"11H4","Helicopter Pilot","Officer"
"11HX","Helicopter Pilot","Officer"
"11K1","Trainer Pilot","Officer"
"11K2","Trainer Pilot","Officer"
"11K3","Trainer Pilot","Officer"
"11K4","Trainer Pilot","Officer"
"11KX","Trainer Pilot","Officer"
"11M1","Mobility Pilot","Officer"
"11M2","Mobility Pilot","Officer"
"11M3","Mobility Pilot","Officer"
"11M4","Mobility Pilot","Officer"
"11MX","Mobility Pilot","Officer"
"11R1","Reconnaissance/surveillance/electronic Warfare Pilot","Officer"
"11R2","Reconnaissance/surveillance/electronic Warfare Pilot","Officer"
"11R3","Reconnaissance/surveillance/electronic Warfare Pilot","Officer"
"11R4","Reconnaissance/surveillance/electronic Warfare Pilot","Officer"
"11RX","RECONNAISSANCE/SURVEILLANCE/ELECTRONIC WARFARE PILOT","Officer"
"11S1","Special Operations Pilot","Officer"
"11S2","Special Operations Pilot","Officer"
"11S3","Special Operations Pilot","Officer"
"11S4","Special Operations Pilot","Officer"
"11SX","Special Operations Pilot","Officer"
"11T1","Tanker Pilot","Officer"
"11T2","Tanker Pilot","Officer"
"11T3","Tanker Pilot","Officer"
"11T4","Tanker Pilot","Officer"
"11U1","Remotely Piloted Aircraft (RPA) Pilot","Officer"
"11U1D","Remotely Operated Aircraft","Officer"
"11U2","Remotely Piloted Aircraft (RPA) Pilot","Officer"
"11U2D","Remotely Operated Aircraft","Officer"
"11U3","Remotely Piloted Aircraft (RPA) Pilot","Officer"
"11U3D","Remotely Operated Aircraft","Officer"
"11U4","Remotely Piloted Aircraft (RPA) Pilot","Officer"
"11U4D","Remotely Operated Aircraft","Officer"
"11UX","Remotely Piloted Aircraft (RPA) Pilot","Officer"
"12A1","Airlift Navigator","Officer"
