"00B","Diver","Enlisted"
"00E","Recruiter","Enlisted"
"00H","Enlisted Aide","Enlisted"
"00R","Recruiter/Retention NCO","Enlisted"
"00Z","Command Sergeant Major Nominative","Enlisted"
"01A","Officer Generalist","Officer"
"01B","Electrical-Electronic Engineering Assistant","Enlisted"
"01B","Aviation/Infantry/Armor/Military Intelligence Immaterial","Officer"
"01C","Mechanical Engineering Assistant","Enlisted"
"01C","Chemical/Engineer/Military Police Immaterial","Officer"
"01D","Civil Engineering Assistant","Enlisted"
"01D","Financial Management/Adjutant General immaterial","Officer"
"01E","Mathematics-Statistics Assistant","Enlisted"
"01F","Physical Sciences Assistant","Enlisted"
"01G","Chemical Engineering Assistant","Enlisted"
"01H","Biological Sciences Assistant","Enlisted"
"02A","Army Bandperson","Enlisted"
"02A","Combat Arms Generalist","Officer"
"02B","Cornet or Trumpet Player","Enlisted"
"02B","Infantry/Armor Immaterial","Officer"
"02C","Baritone or Euphonium Player","Enlisted"
"02C","Infantry/Armor/Field Artillery/Engineer Immaterial","Officer"
"02D","French Horn Player","Enlisted"
"02E","Trombone Player","Enlisted"
"02F","Tuba Player","Enlisted"
"02G","Flute or Piccolo Player","Enlisted"
"02H","Oboe Player","Enlisted"
"02J","Clarinet Player","Enlisted"
"02K","Bassoon Player","Enlisted"
"02L","Saxophone Player","Enlisted"
"02M","Percussion Player","Enlisted"
"02N","Keyboard Player","Enlisted"
"02N","Piano Player","Enlisted"
"02P","Brass Group Leader","Enlisted"
"02Q","Woodwind Group Leader","Enlisted"
"02R","Percussion Group Leader","Enlisted"
"02S","Special Bandmember","Enlisted"
"02T","Guitar Player","Enlisted"
"02U","Electric Bass Player","Enlisted"
"02Z","Bands Senior Sergeant","Enlisted"
"03B","Performing Arts Specialist","Enlisted"
"03C","Physical Activities Specialist","Enlisted"
"03D","Arts and Crafts Specialist","Enlisted"
"03Z","Special Services Senior Sergeant","Enlisted"
"04B","Translator-Interpreter","Enlisted"
"05A","Army Medical Department (AMEDD) Immaterial","Officer"
"05B","Radio Operator","Enlisted"
"05C","Radio Teletype Operator","Enlisted"
"05D","Electronic Warfare/Signal Intelligence Emitter Identifier/Locator","Enlisted"
"05E","Voice Radio Operator","Enlisted"
"05F","Radio Teletypewriter Operator (Non-Morse)","Enlisted"
"05G","Signal Security Specialist","Enlisted"
"05H","Electronic Warfare/Signal Intelligence Morse Interceptor","Enlisted"
"05K","Electronic Warfare/Signal Intelligence Non-Morse Interceptor","Enlisted"
"09L","Interpreter/Translator","Enlisted"
"11A","Infantry Officer","Officer"
"11B","Infantryman","Enlisted"
"11C","Indirect Fire Infantryman","Enlisted"
"11D","Armor Reconnaissance Specialist","Enlisted"
"11E","Armor Crewman","Enlisted"
"11H","Heavy Anti-armor Weapons Crewman","Enlisted"
"11L","lnfantry Senior Sergeant","Enlisted"
"11M","Fighting Vehicle Infantryman","Enlisted"
"11Z","Infantry Senior Sergeant","Enlisted"
"120A","Construction Engineering Technician","Warrant Officer"
"125D","Geospatial Engineering Technician","Warrant Officer"
"12A","Armor, General","Officer"
"12A","Engineer","Officer"
"12A","General Engineer","Officer"
"12A","Engineer Senior Sergeant","Enlisted"
"12B","Armor","Officer"
"12B","Combat Engineer","Officer"
"12B","Combat Engineer","Enlisted"
"12B","Combat Engineer","Enlisted"
"12C","Bridge Crewmember","Enlisted"
"12C","Cavalry","Officer"
"12C","Bridge Crewman","Enlisted"
"12D","Facilities/Contract Construction Management Engineer (FCCME)","Officer"
"12D","Diver","Enlisted"
"12E","Atomic Demolition Munitions (ADM) Specialist","Enlisted"
"12F","Engineer Tracked Vehicle Crewman","Enlisted"
"12G","Quarrying Specialist","Enlisted"
"12H","Construction Engineering Supervisor","Enlisted"
"12K","Plumber","Enlisted"
"12M","Firefighter","Enlisted"
"12N","Horizontal Construction Engineer","Enlisted"
"12P","Prime Power Production Specialist","Enlisted"
"12Q","Power Line Distribution Specialist","Enlisted"
"12R","Interior Electrician","Enlisted"
"12T","Technical Engineer","Enlisted"
"12V","Concrete and Asphalt Equipment Operator","Enlisted"
"12W","Carpentry and Masonry Specialist","Enlisted"
"12X","General Engineering Supervisor","Enlisted"
"12X","General Engineering Supervisor","Enlisted"
"12Y","Geospatial Engineer","Enlisted"
"12Z","Engineering Senior Sergeant","Enlisted"
"12Z","Combat Engineering Senior Sergeant","Enlisted"
"12Z","Combat Engineering Senior Sergeant","Enlisted"
"131A","Field Artillery Targeting Technician","Warrant Officer"
"13A","Field Artillery, General","Officer"
"13B","Cannon Crewmember","Enlisted"
"13B","Light Missile Field Artillery","Officer"
"13C","Tactical Automated Fire Control Systems Specialist","Enlisted"
"13D","Field Artillery Automated tactical Data Systems Specialist","Enlisted"
"13D","Field Artillery Target Acquisition","Officer"
"13E","Cannon Fire Direction Specialist","Enlisted"
"13E","Cannon Field Artillery","Officer"
"13F","Fire Support Specialist","Enlisted"
"13M","Multiple Launch Rocket System (MLRS)","Enlisted"
"13M","Multiple Launch Rocket System","Enlisted"
"13N","Lance Crewmember","Enlisted"
"13P","Multiple Launch Rocket System/Fire Direction Specialist","Enlisted"
"13R","Field Artillery Firefinder Radar Operator","Enlisted"
"13S","Field Artillery Surveyor","Enlisted"
"13T","Field Artillery Metrological/Surveyor Crewmember","Enlisted"
"13W","Field Artillery Meteorological Crewmembers","Enlisted"
"13Y","Cannon/Missile Senior Sergeant","Enlisted"
